epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
71,,287,,,,,,1.0,1.0,0.7185071110725403,1.0,1.0,,,,,
,0.001,288,,,,,,,,,,,,,,,
72,,291,,,,,,,,,,,0.6333333253860474,0.48521167039871216,2.0595085620880127,0.4714021384716034,0.547354519367218
72,,291,,,,,,1.0,1.0,0.7036289572715759,1.0,1.0,,,,,
,0.001,292,,,,,,,,,,,,,,,
73,,295,,,,,,,,,,,0.6333333253860474,0.5429531931877136,2.0683207511901855,0.5429532527923584,0.6099414825439453
73,,295,,,,,,1.0,1.0,0.7188722491264343,1.0,1.0,,,,,
,0.001,296,,,,,,,,,,,,,,,
74,,299,,,,,,,,,,,0.4000000059604645,0.3371428847312927,2.1420819759368896,0.32103171944618225,0.4015873372554779
74,,299,,,,,,1.0,1.0,0.7065421342849731,1.0,1.0,,,,,
,0.001,300,,,,,,,,,,,,,,,
75,,303,,,,,,,,,,,0.5666666626930237,0.48766666650772095,2.2876765727996826,0.4804166853427887,0.5408334136009216
75,,303,,,,,,1.0,1.0,0.7066434025764465,1.0,1.0,,,,,
,0.001,304,,,,,,,,,,,,,,,
76,,307,,,,,,,,,,,0.6333333253860474,0.5576106905937195,2.2234933376312256,0.56330406665802,0.6099414825439453
76,,307,,,,,,1.0,1.0,0.7064223289489746,1.0,1.0,,,,,
,0.001,308,,,,,,,,,,,,,,,
77,,311,,,,,,,,,,,0.6333333253860474,0.528174638748169,2.078094720840454,0.532777726650238,0.5730555653572083
77,,311,,,,,,1.0,1.0,0.7018580436706543,1.0,1.0,,,,,
,0.001,312,,,,,,,,,,,,,,,
78,,315,,,,,,,,,,,0.6333333253860474,0.5576106905937195,2.063070774078369,0.56330406665802,0.6099414825439453
78,,315,,,,,,1.0,1.0,0.7007355093955994,1.0,1.0,,,,,
,0.001,316,,,,,,,,,,,,,,,
79,,319,,,,,,,,,,,0.6000000238418579,0.5338680148124695,2.107630729675293,0.5378655791282654,0.5929824709892273
79,,319,,,,,,1.0,1.0,0.7002502679824829,1.0,1.0,,,,,
,0.001,320,,,,,,,,,,,,,,,
80,,323,,,,,,,,,,,0.6000000238418579,0.5391979813575745,2.0085744857788086,0.5463449954986572,0.5845029950141907
80,,323,,,,,,1.0,1.0,0.697300374507904,1.0,1.0,,,,,
,0.001,324,,,,,,,,,,,,,,,
81,,327,,,,,,,,,,,0.6333333253860474,0.5491311550140381,1.9345333576202393,0.5548245906829834,0.6014620065689087
81,,327,,,,,,1.0,1.0,0.6981852054595947,1.0,1.0,,,,,
,0.001,328,,,,,,,,,,,,,,,
82,,331,,,,,,,,,,,0.6000000238418579,0.5067335367202759,2.0610768795013428,0.48698827624320984,0.5845029354095459
82,,331,,,,,,1.0,1.0,0.7130487561225891,1.0,1.0,,,,,
,0.001,332,,,,,,,,,,,,,,,
83,,335,,,,,,,,,,,0.5,0.39284127950668335,2.0582172870635986,0.3837500214576721,0.4441666901111603
83,,335,,,,,,1.0,1.0,0.7036322355270386,1.0,1.0,,,,,
,0.001,336,,,,,,,,,,,,,,,
84,,339,,,,,,,,,,,0.6000000238418579,0.5198888778686523,1.9728108644485474,0.5287500619888306,0.5649999976158142
84,,339,,,,,,1.0,1.0,0.705599308013916,1.0,1.0,,,,,
,0.001,340,,,,,,,,,,,,,,,
85,,343,,,,,,,,,,,0.5333333015441895,0.4321136176586151,2.109152317047119,0.41067251563072205,0.5166666507720947
85,,343,,,,,,1.0,1.0,0.695149838924408,1.0,1.0,,,,,
,0.001,344,,,,,,,,,,,,,,,
86,,347,,,,,,,,,,,0.5666666626930237,0.4931662678718567,2.125398874282837,0.4785088002681732,0.5675439238548279
86,,347,,,,,,1.0,1.0,0.6916466951370239,1.0,1.0,,,,,
,0.001,348,,,,,,,,,,,,,,,
87,,351,,,,,,,,,,,0.6333333253860474,0.5200585126876831,1.987671971321106,0.5293859839439392,0.5675439238548279
87,,351,,,,,,1.0,1.0,0.6976425647735596,1.0,1.0,,,,,
,0.001,352,,,,,,,,,,,,,,,
88,,355,,,,,,,,,,,0.6333333253860474,0.4583597779273987,2.120952844619751,0.44531747698783875,0.5166666507720947
88,,355,,,,,,1.0,1.0,0.6899791359901428,1.0,1.0,,,,,
,0.001,356,,,,,,,,,,,,,,,
89,,359,,,,,,,,,,,0.6333333253860474,0.507805585861206,2.1226441860198975,0.49330559372901917,0.573055624961853
89,,359,,,,,,1.0,1.0,0.6869054436683655,1.0,1.0,,,,,
,0.001,360,,,,,,,,,,,,,,,
90,,363,,,,,,,,,,,0.6000000238418579,0.4991746246814728,1.958466649055481,0.48847219347953796,0.5569444894790649
90,,363,,,,,,1.0,1.0,0.6879222989082336,1.0,1.0,,,,,
,0.001,364,,,,,,,,,,,,,,,
91,,367,,,,,,,,,,,0.6333333253860474,0.51581871509552,2.0189061164855957,0.49207600951194763,0.6014620065689087
91,,367,,,,,,1.0,1.0,0.6858919262886047,1.0,1.0,,,,,
